,nombreReaction,nombreReactionColor,nombrePage,nombrePageColor,interaction,interactionColor,followers,followersColor
0,Womenworking.com,#1f77b4,La Parole Vivante (2),#c5b0d5,Jennifer Lopez (8),#ffbb78,Jennifer Lopez (9),#ffbb78
1,Lessons Learned In Life Inc.,#aec78e,theScore (4),#98df8a,Stories of Jesus in The Urantia Book (24),#9467bd,Womenworking.com (48),#1f77b4
2,NFL Memes,#ff7f0e,Lessons Learned In Life Inc. (16),#aec78e,Dua Lipa (27),#ff9896,Lessons Learned In Life Inc. (53),#aec78e
3,Jennifer Lopez,#ffbb78,NFL Memes (23),#ff7f0e,Womenworking.com (78),#1f77b4,Goalcast (64),#d62728
4,This Is Why I'm Single,#2ca02c,Womenworking.com (24),#1f77b4,Lessons Learned In Life Inc. (172),#aec78e,Stories of Jesus in The Urantia Book (86),#9467bd
5,theScore,#98df8a,Goalcast (106),#d62728,This Is Why I'm Single (219),#2ca02c,Dua Lipa (87),#ff9896
6,Goalcast,#d62728,This Is Why I'm Single (147),#2ca02c,Goalcast (295),#d62728,theScore (208),#98df8a
7,Dua Lipa,#ff9896,Dua Lipa (1379),#ff9896,NFL Memes (669),#ff7f0e,This Is Why I'm Single (322),#2ca02c
8,Stories of Jesus in The Urantia Book,#9467bd,Stories of Jesus in The Urantia Book (1735),#9467bd,theScore (1424),#98df8a,NFL Memes (368),#ff7f0e
9,La Parole Vivante,#c5b0d5,Jennifer Lopez (2462),#ffbb78,La Parole Vivante (2210),#c5b0d5,La Parole Vivante (464),#c5b0d5
